基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,自定义,手续费
002079,前海开源中国稀缺资产混合C,3.5020,3.5020,1.42%,9.61%,25.56%,37.93%,51.60%,133.31%,303.92%,307.21%,7.23%,250.20%,133.3111%,0.15%
001643,汇丰晋信智造先锋股票A,3.1644,3.1644,0.63%,7%,25.44%,54.17%,62.52%,121.57%,308.84%,196.65%,4.67%,216.3451%,121.5656%,0.15%
519908,华夏兴华混合A,3.29,7.7960,0.03%,9.41%,25.43%,40.06%,47.40%,76.03%,140.85%,71.18%,6.33%,229%,76.0300%,0.15%
006736,国投瑞银先进制造混合,2.9619,2.9619,-0.75%,9.41%,25.40%,39.78%,52.20%,105.80%,---,---,7.06%,196.19%,105.8018%,0.15%
001644,汇丰晋信智造先锋股票C,3.0852,3.0852,0.63%,6.99%,25.39%,53.97%,62.11%,120.48%,305.04%,192.46%,4.66%,208.4275%,120.4817%,0.00%
009878,平安低碳经济混合A,1.2803,1.2803,0.21%,8.02%,25.36%,31.08%,---,---,---,---,5.94%,28.03%,28.03%,0.12%
002681,金鹰元和灵活配置混合A,2.0274,2.0524,-0.68%,7.56%,25.33%,45.47%,41.47%,76.70%,120.54%,103.47%,5.50%,107.7385%,76.6951%,0.12%
000793,工银高端制造股票,2.1780,2.1780,-0.18%,7.66%,25.32%,38.73%,66.90%,130.48%,258.81%,103.36%,5.07%,117.80%,130.4762%,0.15%
009879,平安低碳经济混合C,1.2762,1.2762,0.22%,8.02%,25.28%,30.81%,---,---,---,---,5.94%,27.62%,27.62%,0.00%
002682,金鹰元和灵活配置混合C,1.9883,2.0033,-0.69%,7.55%,25.26%,45.24%,41.04%,75.64%,117.75%,99.39%,5.49%,101.78%,75.6449%,0.00%
009067,国泰中证新能源汽车ETF联接A,2.0955,2.0955,-1.37%,7.62%,25.11%,54.10%,66.07%,---,---,---,5.93%,109.55%,109.55%,0.10%
009068,国泰中证新能源汽车ETF联接C,2.0910,2.0910,-1.37%,7.60%,25.07%,53.98%,65.82%,---,---,---,5.92%,109.10%,109.1%,0.00%
001569,泰信国策驱动灵活配置混合,1.6970,1.6970,0.24%,9.98%,25.06%,38.87%,50.84%,94.83%,230.80%,123%,7.75%,69.70%,94.8335%,0.15%
168501,北信瑞丰产业升级,2.6064,2.6064,0.71%,10.48%,25.04%,31.98%,59.10%,111.51%,225.72%,157.22%,6.44%,160.64%,111.5069%,0.15%
001475,易方达国防军工混合,1.70,1.70,0.41%,11.62%,25%,26.49%,64.89%,100.47%,164.80%,91.44%,7.53%,70%,100.4717%,0.15%
001875,前海开源沪港深优势精选混合,2.6480,3.5680,2.80%,10.89%,24.89%,32.92%,37.78%,106.40%,238.69%,221.17%,8.21%,352.2006%,106.3997%,0.15%
006969,圆信永丰高端制造混合,2.2408,2.2408,0.36%,9.09%,24.86%,28.68%,33.10%,79.08%,---,---,6.79%,124.08%,79.0778%,0.15%
001135,益民品质升级混合,1.3520,1.3520,0.52%,9.65%,24.84%,39.38%,52.94%,104.54%,190.75%,116.67%,8.16%,35.20%,104.5386%,0.15%
530001,建信恒久价值混合,1.6828,4.6824,-0.15%,8.17%,24.80%,39.92%,58.74%,96.89%,203.21%,103.19%,5.62%,823.9331%,96.8878%,0.15%
008671,银华科技创新混合,1.5651,1.5651,0.17%,8%,24.79%,25.47%,31.55%,---,---,---,6.27%,56.51%,56.51%,0.15%
007281,嘉合消费升级混合,1.6399,1.8399,1.22%,11.31%,24.78%,37.35%,41.03%,79.67%,---,---,9.04%,90.3247%,79.6692%,0.15%
005119,银华智荟内在价值灵活配置,1.8905,1.8905,0.44%,9.73%,24.70%,37.32%,36.35%,74.14%,194.42%,83.47%,6.77%,89.05%,74.1433%,0.15%
050009,博时新兴成长混合,1.38,5.7470,0%,9.35%,24.66%,30.56%,34.90%,78.99%,190.53%,104.14%,4.94%,64.6193%,78.9883%,0.15%
009661,平安研究睿选混合A,1.2898,1.2898,0.19%,7.91%,24.65%,30.49%,---,---,---,---,5.86%,28.98%,28.98%,0.15%
